id,nombre,apellido,email,telefono,distrito,fecha_nacimiento,fecha_registro,activo
104,Ofelia,Sáenz,usuario104@ejemplo.com,034505415,Magdalena,1973-08-28,2026-03-01 00:00:00,True
105,Glauco,Valderrama,usuario105@ejemplo.com,584161692,Pueblo Libre,1959-12-07,2025-04-04 00:00:00,True
106,Gertrudis,Marqués,usuario106@ejemplo.com,796275705,San Borja,1959-08-31,2026-02-10 00:00:00,True
107,Febe,Ramis,usuario107@ejemplo.com,820297021,San Isidro,2006-01-04,2025-02-23 00:00:00,True
108,Anacleto,Corral,usuario108@ejemplo.com,557192856,La Molina,1957-01-22,2025-06-29 00:00:00,True
109,Gilberto,Valera,usuario109@ejemplo.com,814473947,Miraflores,1979-08-25,2025-06-28 00:00:00,True
110,Trini,Salgado,usuario110@ejemplo.com,551884422,Pueblo Libre,2007-11-26,2025-12-11 00:00:00,True
111,Mónica,Chamorro,usuario111@ejemplo.com,705895782,San Isidro,1976-10-15,2024-02-11 00:00:00,True
112,Liliana,Tejero,usuario112@ejemplo.com,691251778,San Borja,1965-05-01,2023-11-17 00:00:00,True
113,Efraín,Roselló,usuario113@ejemplo.com,182422535,San Isidro,1966-02-03,2024-01-13 00:00:00,True
114,Carmen,Llobet,usuario114@ejemplo.com,498182992,Magdalena,2000-05-05,2024-01-07 00:00:00,True
115,Cintia,Armengol,usuario115@ejemplo.com,109439690,Surco,1981-04-14,2025-10-21 00:00:00,True
116,Noa,Ramis,usuario116@ejemplo.com,710276773,Callao,2001-05-07,2024-10-31 00:00:00,True
117,Melchor,Ojeda,usuario117@ejemplo.com,258815371,Magdalena,1960-10-26,2025-09-13 00:00:00,True
118,Luis Ángel,Plana,usuario118@ejemplo.com,325953278,La Molina,1956-11-30,2024-09-07 00:00:00,True
119,Rubén,Vega,usuario119@ejemplo.com,339500479,Pueblo Libre,2000-08-03,2024-12-23 00:00:00,True
120,Tomás,Cañete,usuario120@ejemplo.com,565060983,Barranco,1976-03-01,2024-08-26 00:00:00,True
121,Virgilio,Losa,usuario121@ejemplo.com,216558523,San Juan de Lurigancho,1957-10-27,2024-03-25 00:00:00,True
122,Antonio,Cerro,usuario122@ejemplo.com,787298259,Barranco,1994-11-15,2024-03-01 00:00:00,True
123,Marcelino,Navarrete,usuario123@ejemplo.com,947055169,La Molina,1969-10-05,2025-01-17 00:00:00,True
124,Gabriela,Goñi,usuario124@ejemplo.com,972896230,Callao,1979-01-24,2024-05-05 00:00:00,True
125,Silvio,Cordero,usuario125@ejemplo.com,368970283,Lince,1975-08-29,2024-12-08 00:00:00,True
126,Fulgencio,Segura,usuario126@ejemplo.com,854973348,Magdalena,1993-01-18,2024-11-24 00:00:00,True
127,Jenny,Torrijos,usuario127@ejemplo.com,758441986,San Isidro,1957-12-01,2025-06-21 00:00:00,True
128,Lidia,Bermúdez,usuario128@ejemplo.com,747338484,Barranco,1968-05-15,2025-12-26 00:00:00,True
129,Aureliano,Gonzalez,usuario129@ejemplo.com,016571208,Lince,1990-03-02,2026-02-08 00:00:00,True
130,Maristela,Madrigal,usuario130@ejemplo.com,401938026,Pueblo Libre,1965-07-24,2024-08-11 00:00:00,True
131,Marianela,Mancebo,usuario131@ejemplo.com,049915478,Barranco,1980-06-29,2024-07-07 00:00:00,True
132,Guadalupe,Capdevila,usuario132@ejemplo.com,274205493,Barranco,1982-12-31,2026-02-22 00:00:00,True
133,Chema,Pérez,usuario133@ejemplo.com,227530463,San Isidro,1986-07-23,2024-03-07 00:00:00,True
134,Constanza,Alberdi,usuario134@ejemplo.com,530174268,Callao,1988-04-06,2025-12-31 00:00:00,True
135,Isidoro,Cañellas,usuario135@ejemplo.com,279568783,Barranco,1979-05-14,2025-12-22 00:00:00,True
136,Juliana,Pardo,usuario136@ejemplo.com,910883982,Miraflores,1961-11-06,2023-10-03 00:00:00,True
137,Hernán,Torrijos,usuario137@ejemplo.com,870728679,Lince,1994-01-08,2025-12-19 00:00:00,True
138,Ruy,Iñiguez,usuario138@ejemplo.com,391065180,Magdalena,1977-05-11,2025-07-01 00:00:00,True
139,María José,Cerdá,usuario139@ejemplo.com,567661825,La Molina,1983-09-19,2024-04-15 00:00:00,True
140,Luisa,Gisbert,usuario140@ejemplo.com,047868633,San Borja,1965-09-04,2025-07-25 00:00:00,True
141,Sara,Carbajo,usuario141@ejemplo.com,690331190,Magdalena,1994-12-09,2025-10-17 00:00:00,True
142,Samu,Ródenas,usuario142@ejemplo.com,830284395,San Juan de Lurigancho,1971-09-06,2024-07-25 00:00:00,True
143,Eric,Vázquez,usuario143@ejemplo.com,644089268,Pueblo Libre,1997-05-03,2024-11-02 00:00:00,True
144,Melchor,Rico,usuario144@ejemplo.com,246287334,Barranco,1977-07-24,2023-12-19 00:00:00,True
145,Sigfrido,Cañete,usuario145@ejemplo.com,343517518,San Borja,1991-05-24,2023-11-26 00:00:00,True
146,Elisa,Ariza,usuario146@ejemplo.com,398373540,Jesús María,2004-02-26,2025-08-19 00:00:00,True
147,Josefa,Fuente,usuario147@ejemplo.com,385467854,San Isidro,1980-05-21,2025-11-22 00:00:00,True
148,Nieves,Soria,usuario148@ejemplo.com,355609320,Callao,1993-11-06,2024-12-15 00:00:00,True
149,Manolo,Corominas,usuario149@ejemplo.com,536937854,Lince,1994-07-11,2024-12-23 00:00:00,True
150,Pastor,Dominguez,usuario150@ejemplo.com,872808010,Jesús María,1959-04-16,2024-11-08 00:00:00,True
151,Eutropio,Agullo,usuario151@ejemplo.com,875099770,San Juan de Lurigancho,1956-04-25,2026-01-05 00:00:00,True
152,Benita,Llobet,usuario152@ejemplo.com,086211823,Callao,1998-11-23,2024-05-01 00:00:00,True
153,Juanito,Puente,usuario153@ejemplo.com,567933410,Callao,1984-12-24,2025-11-21 00:00:00,True
154,Basilio,Agustí,usuario154@ejemplo.com,176591803,Miraflores,1958-02-26,2025-01-13 00:00:00,True
155,Carlito,Lozano,usuario155@ejemplo.com,250392614,San Juan de Lurigancho,1999-12-05,2025-03-19 00:00:00,True
156,Roque,Mármol,usuario156@ejemplo.com,218501631,San Isidro,1976-09-17,2025-06-20 00:00:00,True
157,María Ángeles,Morera,usuario157@ejemplo.com,477358662,Barranco,1971-05-06,2025-08-19 00:00:00,True
158,Jose Manuel,Beltrán,usuario158@ejemplo.com,426265511,Magdalena,1996-01-15,2024-11-27 00:00:00,True
159,Cristian,Cazorla,usuario159@ejemplo.com,267888610,Surco,1987-04-29,2024-12-24 00:00:00,True
160,Milagros,Morata,usuario160@ejemplo.com,046618398,Surco,1969-12-10,2025-05-20 00:00:00,True
161,Julio,Ureña,usuario161@ejemplo.com,126464715,San Borja,1988-05-16,2025-06-19 00:00:00,True
162,Zacarías,Campo,usuario162@ejemplo.com,406596575,San Isidro,1972-09-06,2024-12-03 00:00:00,True
163,Jordana,Font,usuario163@ejemplo.com,526547935,Magdalena,1961-09-21,2025-11-21 00:00:00,True
164,Cintia,Folch,usuario164@ejemplo.com,807374167,Miraflores,1990-08-07,2024-05-03 00:00:00,True
165,Ligia,Rocha,usuario165@ejemplo.com,179796886,Magdalena,1987-02-28,2023-10-27 00:00:00,True
166,Yaiza,Blázquez,usuario166@ejemplo.com,352909656,Miraflores,1967-06-15,2025-11-26 00:00:00,True
167,Margarita,Villena,usuario167@ejemplo.com,756798250,Barranco,2004-06-23,2025-09-12 00:00:00,True
168,Che,Carmona,usuario168@ejemplo.com,545738757,Jesús María,1959-04-01,2024-10-20 00:00:00,True
169,Arsenio,Cardona,usuario169@ejemplo.com,512382825,San Borja,1997-12-20,2025-07-26 00:00:00,True
170,Eva,Espinosa,usuario170@ejemplo.com,660937966,Jesús María,1995-07-25,2025-12-31 00:00:00,True
171,Nydia,Barros,usuario171@ejemplo.com,825537147,Surco,1988-02-02,2025-02-06 00:00:00,True
172,Diana,Carbonell,usuario172@ejemplo.com,579249912,Miraflores,1961-11-20,2025-01-26 00:00:00,True
173,Raúl,Cid,usuario173@ejemplo.com,692966278,La Molina,1970-12-30,2023-12-20 00:00:00,True
174,Glauco,Miranda,usuario174@ejemplo.com,905072368,San Borja,1977-09-19,2025-05-13 00:00:00,True
175,Priscila,Saldaña,usuario175@ejemplo.com,219034043,Jesús María,1985-09-01,2024-03-18 00:00:00,True
176,María Teresa,Valbuena,usuario176@ejemplo.com,914858078,San Juan de Lurigancho,1971-06-20,2023-12-20 00:00:00,True
177,Anacleto,Sandoval,usuario177@ejemplo.com,517133959,Magdalena,1997-04-14,2024-04-23 00:00:00,True
178,Odalys,Gabaldón,usuario178@ejemplo.com,958498254,San Juan de Lurigancho,2007-12-03,2024-10-19 00:00:00,True
179,Iris,Bustos,usuario179@ejemplo.com,604223253,Surco,1989-03-16,2025-08-19 00:00:00,True
180,Eulalia,Ribas,usuario180@ejemplo.com,711684577,La Molina,1994-06-06,2025-07-22 00:00:00,True
181,Álvaro,Palma,usuario181@ejemplo.com,863637454,Miraflores,1985-09-10,2024-07-16 00:00:00,True
182,Amada,Nuñez,usuario182@ejemplo.com,017012770,San Juan de Lurigancho,1964-02-11,2024-08-23 00:00:00,True
183,Sarita,Lledó,usuario183@ejemplo.com,541520643,Miraflores,1966-12-31,2024-01-26 00:00:00,True
184,Casemiro,Cazorla,usuario184@ejemplo.com,870051627,Lince,1994-06-02,2026-01-02 00:00:00,True
185,Cristian,Calderón,usuario185@ejemplo.com,542622189,Miraflores,1974-04-20,2024-07-11 00:00:00,True
186,Ignacio,Cordero,usuario186@ejemplo.com,973112196,San Borja,1968-10-26,2024-10-03 00:00:00,True
187,Filomena,Blasco,usuario187@ejemplo.com,899940438,Magdalena,1971-05-09,2025-09-21 00:00:00,True
188,Baltasar,Heras,usuario188@ejemplo.com,613791805,Miraflores,1977-12-29,2024-09-27 00:00:00,True
189,Carina,Duque,usuario189@ejemplo.com,109104300,San Isidro,1996-05-06,2023-10-12 00:00:00,True
190,Teo,Quesada,usuario190@ejemplo.com,889241418,Surco,1976-05-25,2025-12-21 00:00:00,True
191,Fabiana,Batalla,usuario191@ejemplo.com,630316179,Pueblo Libre,1962-01-07,2025-12-22 00:00:00,True
192,Laura,Cervantes,usuario192@ejemplo.com,275884252,Callao,1998-06-19,2023-10-01 00:00:00,True
193,Lalo,Zabaleta,usuario193@ejemplo.com,491778507,Barranco,1969-03-17,2025-01-12 00:00:00,True
194,Cristian,Carlos,usuario194@ejemplo.com,800030756,San Isidro,1998-04-03,2024-07-26 00:00:00,True
195,Lidia,Rius,usuario195@ejemplo.com,536541951,Barranco,1998-04-27,2024-07-17 00:00:00,True
196,Arturo,Quero,usuario196@ejemplo.com,744518705,Pueblo Libre,1994-11-20,2026-01-20 00:00:00,True
197,Jose Carlos,Simó,usuario197@ejemplo.com,973832060,Pueblo Libre,2006-02-03,2025-12-08 00:00:00,True
198,Abel,Peñalver,usuario198@ejemplo.com,138367024,Jesús María,1977-07-31,2024-04-27 00:00:00,True
199,Teresita,Perales,usuario199@ejemplo.com,191826199,Pueblo Libre,1971-02-23,2024-07-31 00:00:00,True
200,Renata,Miró,usuario200@ejemplo.com,557431329,Magdalena,1979-07-08,2025-04-12 00:00:00,True
201,Mauricio,Ramos,usuario201@ejemplo.com,853747411,La Molina,1967-01-31,2025-08-04 00:00:00,True
202,Rocío,Mosquera,usuario202@ejemplo.com,135680442,Callao,1995-05-04,2024-02-27 00:00:00,True
203,Josep,Busquets,usuario203@ejemplo.com,121003236,Lince,1969-05-28,2025-06-30 00:00:00,True
204,Odalis,Benavides,usuario204@ejemplo.com,137215107,La Molina,1999-03-29,2025-01-20 00:00:00,True
205,Ruperto,Valderrama,usuario205@ejemplo.com,662532447,Surco,1988-05-22,2024-04-13 00:00:00,True
206,Flor,Marquez,usuario206@ejemplo.com,687014626,Callao,1997-10-25,2025-04-28 00:00:00,True
207,Roberto,Palomar,usuario207@ejemplo.com,875985642,San Borja,1957-03-29,2025-04-12 00:00:00,True
208,Obdulia,Lucas,usuario208@ejemplo.com,785932133,San Isidro,1986-03-14,2026-02-20 00:00:00,True
209,Nayara,Pont,usuario209@ejemplo.com,223955905,San Borja,2005-12-14,2024-06-03 00:00:00,True
210,Piedad,Ugarte,usuario210@ejemplo.com,270103930,Pueblo Libre,2004-05-03,2025-11-19 00:00:00,True
211,Heriberto,Castrillo,usuario211@ejemplo.com,250029218,San Isidro,1986-09-30,2024-08-28 00:00:00,True
212,Nicodemo,Matas,usuario212@ejemplo.com,226752895,Barranco,1971-12-13,2024-09-29 00:00:00,True
213,Jennifer,Mariño,usuario213@ejemplo.com,209690295,La Molina,2005-05-02,2025-10-17 00:00:00,True
214,Epifanio,Muñoz,usuario214@ejemplo.com,355215704,Lince,1969-04-16,2025-12-21 00:00:00,True
215,Cándido,Abella,usuario215@ejemplo.com,676267658,Barranco,1990-03-11,2025-02-16 00:00:00,True
216,Jacinta,Gomis,usuario216@ejemplo.com,710405411,La Molina,1994-06-26,2025-09-21 00:00:00,True
217,Carla,Buendía,usuario217@ejemplo.com,997062962,San Borja,2007-05-02,2023-10-30 00:00:00,True
218,Sebastián,Lara,usuario218@ejemplo.com,431069872,Magdalena,1960-05-01,2024-03-11 00:00:00,True
219,Palmira,Tenorio,usuario219@ejemplo.com,103241714,La Molina,1960-07-08,2024-06-13 00:00:00,True
220,Candelas,Ponce,usuario220@ejemplo.com,565270477,Callao,1958-12-15,2024-09-06 00:00:00,True
221,Marina,Caballero,usuario221@ejemplo.com,586938068,Miraflores,2002-06-01,2024-04-17 00:00:00,True
222,Alba,Martínez,usuario222@ejemplo.com,608989921,Magdalena,1998-07-15,2025-04-29 00:00:00,True
223,Edmundo,Arnau,usuario223@ejemplo.com,163294511,Callao,1972-12-21,2025-11-15 00:00:00,True
224,Leoncio,Vizcaíno,usuario224@ejemplo.com,099861622,Surco,2004-09-16,2025-06-04 00:00:00,True
225,Chus,Cabrero,usuario225@ejemplo.com,856467997,San Isidro,1963-04-24,2025-11-12 00:00:00,True
226,Emelina,Querol,usuario226@ejemplo.com,653074505,San Juan de Lurigancho,2001-03-05,2024-08-12 00:00:00,True
227,Isidora,Cabello,usuario227@ejemplo.com,247546913,Surco,1995-12-11,2025-05-27 00:00:00,True
228,Rufina,Pereira,usuario228@ejemplo.com,821486289,La Molina,2000-01-19,2024-06-20 00:00:00,True
229,Josep,Aparicio,usuario229@ejemplo.com,053457861,Barranco,1987-03-05,2024-02-26 00:00:00,True
230,Galo,Sánchez,usuario230@ejemplo.com,524140602,Lince,1991-08-10,2025-08-05 00:00:00,True
231,Julio César,Recio,usuario231@ejemplo.com,072290349,Callao,2000-10-27,2024-05-21 00:00:00,True
232,Ángel,Iniesta,usuario232@ejemplo.com,748969108,La Molina,1970-09-02,2024-09-30 00:00:00,True
233,Isaura,Campoy,usuario233@ejemplo.com,154544432,San Borja,1977-02-07,2025-06-17 00:00:00,True
234,Miguel,Chaves,usuario234@ejemplo.com,744666099,Miraflores,1989-07-09,2025-11-27 00:00:00,True
235,Alba,Palmer,usuario235@ejemplo.com,282417248,Callao,1974-07-08,2024-12-23 00:00:00,True
236,Marcela,Melero,usuario236@ejemplo.com,554947170,La Molina,1980-09-18,2026-01-15 00:00:00,True
237,Guiomar,Vall,usuario237@ejemplo.com,684602235,Miraflores,1972-06-15,2025-03-25 00:00:00,True
238,Ligia,Escribano,usuario238@ejemplo.com,752500743,Surco,1997-04-21,2024-05-18 00:00:00,True
239,Melisa,Borja,usuario239@ejemplo.com,966667600,La Molina,2002-12-19,2025-09-17 00:00:00,True
240,Marita,Farré,usuario240@ejemplo.com,033542168,San Juan de Lurigancho,1999-05-09,2024-12-04 00:00:00,True
241,Marc,Manso,usuario241@ejemplo.com,898562575,Magdalena,1967-10-17,2024-03-09 00:00:00,True
242,Lucía,Castro,usuario242@ejemplo.com,098215064,Jesús María,2008-05-29,2024-08-04 00:00:00,True
243,Gisela,Campoy,usuario243@ejemplo.com,016761847,Miraflores,1977-12-29,2025-11-07 00:00:00,True
