id,nombre,apellido,email,telefono,nro_licencia,distrito_base,fecha_ingreso,calificacion_promedio,activo
69,Toribio,Lloret,conductor69@ejemplo.com,950040051,Q00000069,Magdalena,2022-08-10,0.00,True
70,Marisela,Rincón,conductor70@ejemplo.com,057587802,Q00000070,San Juan de Lurigancho,2025-09-19,0.00,True
71,Ramiro,Cuenca,conductor71@ejemplo.com,843845291,Q00000071,Barranco,2023-06-18,0.00,True
72,Máxima,Cózar,conductor72@ejemplo.com,331929492,Q00000072,Miraflores,2024-04-15,0.00,True
73,Cayetano,Estevez,conductor73@ejemplo.com,825947300,Q00000073,La Molina,2021-06-04,0.00,True
74,Amor,Almeida,conductor74@ejemplo.com,709455013,Q00000074,Callao,2025-05-01,0.00,True
75,Iker,Estevez,conductor75@ejemplo.com,725967745,Q00000075,La Molina,2021-05-19,0.00,True
76,Hortensia,Medina,conductor76@ejemplo.com,706143328,Q00000076,Lince,2025-07-23,0.00,True
77,Jesús,Méndez,conductor77@ejemplo.com,027579830,Q00000077,Callao,2022-07-13,0.00,True
78,Hilda,Robles,conductor78@ejemplo.com,478967753,Q00000078,Pueblo Libre,2025-10-08,0.00,True
79,Marciano,Cantón,conductor79@ejemplo.com,781812453,Q00000079,Magdalena,2021-06-17,0.00,True
80,Pepita,Caballero,conductor80@ejemplo.com,969652880,Q00000080,Surco,2023-12-03,0.00,True
81,Olalla,Gil,conductor81@ejemplo.com,738874660,Q00000081,San Isidro,2022-05-05,0.00,True
82,Jonatan,Vicente,conductor82@ejemplo.com,961470959,Q00000082,San Isidro,2025-12-06,0.00,True
83,Tecla,Rubio,conductor83@ejemplo.com,423533863,Q00000083,Callao,2024-12-18,0.00,True
84,Roque,Cases,conductor84@ejemplo.com,184050367,Q00000084,Lince,2023-12-07,0.00,True
85,Isaías,Bilbao,conductor85@ejemplo.com,626088384,Q00000085,Lince,2022-08-17,0.00,True
86,Anastasio,Blanca,conductor86@ejemplo.com,390435501,Q00000086,La Molina,2025-01-24,0.00,True
87,Custodia,Martinez,conductor87@ejemplo.com,850276946,Q00000087,San Juan de Lurigancho,2022-11-04,0.00,True
88,Margarita,Pablo,conductor88@ejemplo.com,349288686,Q00000088,Pueblo Libre,2025-02-05,0.00,True
89,Elisa,Pons,conductor89@ejemplo.com,612279241,Q00000089,Miraflores,2022-07-12,0.00,True
90,Isidoro,Estrada,conductor90@ejemplo.com,710263176,Q00000090,Surco,2024-09-22,0.00,True
91,Matilde,Amador,conductor91@ejemplo.com,706450631,Q00000091,San Borja,2023-12-10,0.00,True
92,Feliciano,Benítez,conductor92@ejemplo.com,053285701,Q00000092,San Juan de Lurigancho,2023-12-11,0.00,True
93,Emelina,Asensio,conductor93@ejemplo.com,759697074,Q00000093,Jesús María,2022-10-24,0.00,True
94,María Belén,Montesinos,conductor94@ejemplo.com,687614098,Q00000094,Callao,2023-09-16,0.00,True
95,Juana,Llorente,conductor95@ejemplo.com,514399960,Q00000095,Pueblo Libre,2025-02-10,0.00,True
96,María Luisa,Sastre,conductor96@ejemplo.com,348840056,Q00000096,Surco,2022-11-20,0.00,True
97,Consuela,Palma,conductor97@ejemplo.com,210883741,Q00000097,Lince,2024-10-09,0.00,True
98,María Manuela,Bermudez,conductor98@ejemplo.com,125821931,Q00000098,Barranco,2023-01-26,0.00,True
99,Juan Pablo,Marin,conductor99@ejemplo.com,962963451,Q00000099,Jesús María,2025-07-23,0.00,True
100,Manuela,Juliá,conductor100@ejemplo.com,790657288,Q00000100,Pueblo Libre,2024-09-05,0.00,True
101,Héctor,Conde,conductor101@ejemplo.com,428206881,Q00000101,San Isidro,2021-05-27,0.00,True
102,Mariana,Pedrosa,conductor102@ejemplo.com,161747841,Q00000102,San Isidro,2022-07-30,0.00,True
103,Maximiano,Herrera,conductor103@ejemplo.com,250869295,Q00000103,Magdalena,2021-09-11,0.00,True
104,Roque,Barriga,conductor104@ejemplo.com,028481934,Q00000104,Barranco,2022-09-02,0.00,True
105,Vicenta,Castañeda,conductor105@ejemplo.com,511118762,Q00000105,Callao,2025-12-28,0.00,True
106,Priscila,Luna,conductor106@ejemplo.com,008119064,Q00000106,Pueblo Libre,2021-08-20,0.00,True
107,Ainara,Sacristán,conductor107@ejemplo.com,143826275,Q00000107,Barranco,2021-09-09,0.00,True
108,Mireia,Moll,conductor108@ejemplo.com,795887060,Q00000108,La Molina,2025-05-16,0.00,True
109,Jose Luis,Daza,conductor109@ejemplo.com,852026123,Q00000109,La Molina,2022-06-02,0.00,True
110,Encarna,Sosa,conductor110@ejemplo.com,637157851,Q00000110,Callao,2021-04-08,0.00,True
111,Eligio,Puga,conductor111@ejemplo.com,224721780,Q00000111,Surco,2024-06-07,0.00,True
112,Clotilde,Santana,conductor112@ejemplo.com,919127899,Q00000112,Miraflores,2023-12-17,0.00,True
113,Francisca,Roldán,conductor113@ejemplo.com,808902767,Q00000113,Jesús María,2022-04-22,0.00,True
114,Mireia,Guitart,conductor114@ejemplo.com,657569878,Q00000114,Surco,2023-03-18,0.00,True
115,Seve,Agudo,conductor115@ejemplo.com,373632344,Q00000115,San Juan de Lurigancho,2025-01-11,0.00,True
116,Casandra,Arenas,conductor116@ejemplo.com,931424453,Q00000116,La Molina,2023-10-14,0.00,True
117,Alfredo,Sancho,conductor117@ejemplo.com,190201372,Q00000117,Barranco,2024-12-14,0.00,True
118,Gema,Alarcón,conductor118@ejemplo.com,812847260,Q00000118,La Molina,2022-04-20,0.00,True
119,Lara,Zapata,conductor119@ejemplo.com,006918899,Q00000119,Magdalena,2023-01-23,0.00,True
120,Lilia,Rivas,conductor120@ejemplo.com,091913462,Q00000120,Pueblo Libre,2024-10-16,0.00,True
121,Ana,Ferrero,conductor121@ejemplo.com,115191098,Q00000121,Barranco,2024-08-21,0.00,True
122,Joaquín,Barrera,conductor122@ejemplo.com,656951915,Q00000122,Barranco,2023-06-08,0.00,True
123,Ibán,Gracia,conductor123@ejemplo.com,427285146,Q00000123,Lince,2025-07-05,0.00,True
124,Diego,Villar,conductor124@ejemplo.com,567109923,Q00000124,San Juan de Lurigancho,2023-02-17,0.00,True
125,Nuria,Santana,conductor125@ejemplo.com,439679579,Q00000125,Jesús María,2023-08-21,0.00,True
126,Florina,Lumbreras,conductor126@ejemplo.com,924313272,Q00000126,Pueblo Libre,2024-08-27,0.00,True
127,Mario,Alemán,conductor127@ejemplo.com,248176707,Q00000127,San Juan de Lurigancho,2025-11-15,0.00,True
128,Otilia,Angulo,conductor128@ejemplo.com,963178914,Q00000128,Magdalena,2023-08-24,0.00,True
129,Jose,Prats,conductor129@ejemplo.com,146293892,Q00000129,Lince,2021-07-13,0.00,True
130,Ulises,Alonso,conductor130@ejemplo.com,808482317,Q00000130,La Molina,2025-02-05,0.00,True
131,Olivia,Gomila,conductor131@ejemplo.com,889532268,Q00000131,La Molina,2024-09-07,0.00,True
132,Elías,Domingo,conductor132@ejemplo.com,885909496,Q00000132,San Juan de Lurigancho,2022-12-06,0.00,True
133,Asunción,Bas,conductor133@ejemplo.com,389068252,Q00000133,Surco,2023-12-07,0.00,True
134,Sol,Arana,conductor134@ejemplo.com,535778373,Q00000134,Pueblo Libre,2025-05-02,0.00,True
135,Irma,Donaire,conductor135@ejemplo.com,978620350,Q00000135,Magdalena,2024-03-26,0.00,True
136,Salomé,Bas,conductor136@ejemplo.com,003135641,Q00000136,Lince,2025-12-19,0.00,True
137,Alejo,Colom,conductor137@ejemplo.com,477374184,Q00000137,San Borja,2024-07-29,0.00,True
138,Mireia,Aroca,conductor138@ejemplo.com,598369457,Q00000138,Barranco,2024-03-05,0.00,True
139,Ramiro,Diaz,conductor139@ejemplo.com,170975424,Q00000139,Miraflores,2022-11-05,0.00,True
140,Elisabet,Carrera,conductor140@ejemplo.com,759612981,Q00000140,Lince,2025-03-02,0.00,True
141,Raúl,Pastor,conductor141@ejemplo.com,572251405,Q00000141,Magdalena,2022-07-13,0.00,True
142,Jafet,Solís,conductor142@ejemplo.com,767378276,Q00000142,Magdalena,2021-07-23,0.00,True
143,Leocadia,Galán,conductor143@ejemplo.com,257884427,Q00000143,Pueblo Libre,2023-12-28,0.00,True
144,Ovidio,Tenorio,conductor144@ejemplo.com,641301422,Q00000144,Pueblo Libre,2024-07-22,0.00,True
145,José María,Mendoza,conductor145@ejemplo.com,650593054,Q00000145,San Borja,2021-05-09,0.00,True
146,Sandalio,Cantero,conductor146@ejemplo.com,875621615,Q00000146,Callao,2026-01-14,0.00,True
147,Edgardo,Acedo,conductor147@ejemplo.com,425003179,Q00000147,Barranco,2022-11-22,0.00,True
148,Sosimo,Camacho,conductor148@ejemplo.com,812411881,Q00000148,Jesús María,2021-07-23,0.00,True
149,Georgina,Benitez,conductor149@ejemplo.com,627417887,Q00000149,Pueblo Libre,2023-09-19,0.00,True
150,Edelmira,Donoso,conductor150@ejemplo.com,073561580,Q00000150,La Molina,2024-04-01,0.00,True
151,Nacio,Pedraza,conductor151@ejemplo.com,758516960,Q00000151,Barranco,2024-04-10,0.00,True
152,Eva,Alberola,conductor152@ejemplo.com,752529049,Q00000152,Pueblo Libre,2025-07-18,0.00,True
153,Germán,Ramos,conductor153@ejemplo.com,396511590,Q00000153,San Borja,2023-10-24,0.00,True
154,Mariano,Peral,conductor154@ejemplo.com,842783719,Q00000154,Lince,2025-10-31,0.00,True
155,Odalys,Hervia,conductor155@ejemplo.com,952287964,Q00000155,La Molina,2023-07-08,0.00,True
156,Adoración,Sarmiento,conductor156@ejemplo.com,723498534,Q00000156,San Isidro,2021-08-01,0.00,True
157,Godofredo,Amo,conductor157@ejemplo.com,894227648,Q00000157,Magdalena,2023-02-24,0.00,True
158,Ariel,Blazquez,conductor158@ejemplo.com,724300497,Q00000158,Barranco,2026-01-21,0.00,True
159,Inés,Navarro,conductor159@ejemplo.com,251024805,Q00000159,Miraflores,2021-10-23,0.00,True
160,Dorita,Figueras,conductor160@ejemplo.com,157555814,Q00000160,Pueblo Libre,2021-08-10,0.00,True
161,Trini,Garmendia,conductor161@ejemplo.com,108213452,Q00000161,Pueblo Libre,2024-03-05,0.00,True
162,Luz,Rodriguez,conductor162@ejemplo.com,122990542,Q00000162,La Molina,2025-04-26,0.00,True
163,Juanita,Caballero,conductor163@ejemplo.com,660690991,Q00000163,Magdalena,2023-03-26,0.00,True
164,Jordi,Heredia,conductor164@ejemplo.com,594988326,Q00000164,San Borja,2024-11-22,0.00,True
165,Vinicio,Sáenz,conductor165@ejemplo.com,206402229,Q00000165,La Molina,2024-06-26,0.00,True
166,Margarita,Guillén,conductor166@ejemplo.com,582134485,Q00000166,San Juan de Lurigancho,2021-12-28,0.00,True
167,Ariel,Abad,conductor167@ejemplo.com,681481838,Q00000167,Pueblo Libre,2022-06-19,0.00,True
168,Camilo,Arco,conductor168@ejemplo.com,987258052,Q00000168,Jesús María,2022-05-06,0.00,True
169,Edmundo,Martin,conductor169@ejemplo.com,445230383,Q00000169,Jesús María,2023-03-10,0.00,True
170,Isaac,Gárate,conductor170@ejemplo.com,659272680,Q00000170,Jesús María,2023-09-03,0.00,True
171,Cándida,Figuerola,conductor171@ejemplo.com,845635747,Q00000171,San Borja,2022-10-12,0.00,True
172,Anselmo,Perez,conductor172@ejemplo.com,547960850,Q00000172,Magdalena,2022-08-28,0.00,True
173,Elodia,Garrido,conductor173@ejemplo.com,183425304,Q00000173,Pueblo Libre,2024-08-20,0.00,True
174,Clemente,Ferrer,conductor174@ejemplo.com,241685192,Q00000174,San Borja,2025-12-28,0.00,True
175,Óscar,Coronado,conductor175@ejemplo.com,338773566,Q00000175,Jesús María,2022-02-25,0.00,True
176,Amancio,Peinado,conductor176@ejemplo.com,617467958,Q00000176,San Isidro,2023-07-08,0.00,True
177,Nydia,Calderón,conductor177@ejemplo.com,695148174,Q00000177,San Juan de Lurigancho,2021-04-19,0.00,True
178,Felipe,Gil,conductor178@ejemplo.com,902149671,Q00000178,Callao,2025-12-16,0.00,True
179,María José,Ayuso,conductor179@ejemplo.com,001196745,Q00000179,Jesús María,2022-10-22,0.00,True
180,Laura,Lladó,conductor180@ejemplo.com,085518017,Q00000180,Miraflores,2025-08-09,0.00,True
181,Julia,Portillo,conductor181@ejemplo.com,970849889,Q00000181,La Molina,2022-08-07,0.00,True
182,Jose,Escudero,conductor182@ejemplo.com,289666138,Q00000182,San Borja,2025-08-15,0.00,True
183,Lola,Mendizábal,conductor183@ejemplo.com,306924185,Q00000183,San Isidro,2025-12-08,0.00,True
184,Baudelio,Luís,conductor184@ejemplo.com,990683166,Q00000184,Barranco,2021-08-09,0.00,True
185,Lucho,Bernat,conductor185@ejemplo.com,703244438,Q00000185,Magdalena,2024-08-15,0.00,True
186,Anna,Carlos,conductor186@ejemplo.com,741734373,Q00000186,San Juan de Lurigancho,2023-07-28,0.00,True
187,Brígida,Busquets,conductor187@ejemplo.com,479817635,Q00000187,San Isidro,2024-03-12,0.00,True
188,Esmeralda,Garmendia,conductor188@ejemplo.com,948005574,Q00000188,Jesús María,2023-05-23,0.00,True
189,Emigdio,Cabo,conductor189@ejemplo.com,362463753,Q00000189,Lince,2023-09-26,0.00,True
190,Casandra,Carnero,conductor190@ejemplo.com,119133464,Q00000190,Jesús María,2022-01-01,0.00,True
191,Amador,Ribas,conductor191@ejemplo.com,305213576,Q00000191,Lince,2026-01-30,0.00,True
192,Débora,Guerra,conductor192@ejemplo.com,171964968,Q00000192,Callao,2024-03-08,0.00,True
193,Anita,Jover,conductor193@ejemplo.com,293906886,Q00000193,San Isidro,2023-01-15,0.00,True
194,Alfredo,Rico,conductor194@ejemplo.com,783487495,Q00000194,San Juan de Lurigancho,2023-04-02,0.00,True
195,Carla,Guerrero,conductor195@ejemplo.com,037356621,Q00000195,Jesús María,2025-12-21,0.00,True
196,Leonor,Criado,conductor196@ejemplo.com,137712834,Q00000196,Callao,2025-07-18,0.00,True
197,Nieves,Valderrama,conductor197@ejemplo.com,295487039,Q00000197,Jesús María,2023-04-30,0.00,True
198,Claudio,Fabregat,conductor198@ejemplo.com,758374726,Q00000198,Callao,2024-06-10,0.00,True
199,Prudencia,Zapata,conductor199@ejemplo.com,840860182,Q00000199,La Molina,2022-12-05,0.00,True
200,Ruth,Segovia,conductor200@ejemplo.com,337510293,Q00000200,San Juan de Lurigancho,2022-04-03,0.00,True
201,Purificación,Oliveras,conductor201@ejemplo.com,857083987,Q00000201,Surco,2024-12-08,0.00,True
202,Estela,Diéguez,conductor202@ejemplo.com,779968090,Q00000202,La Molina,2022-03-11,0.00,True
203,Andrea,Aguilera,conductor203@ejemplo.com,918529617,Q00000203,Barranco,2024-01-08,0.00,True
204,Arturo,Giménez,conductor204@ejemplo.com,333025477,Q00000204,Pueblo Libre,2022-06-30,0.00,True
205,Corona,Romeu,conductor205@ejemplo.com,832433116,Q00000205,Jesús María,2022-11-09,0.00,True
206,Maxi,Pi,conductor206@ejemplo.com,643039130,Q00000206,Magdalena,2024-03-30,0.00,True
207,Chuy,Pujadas,conductor207@ejemplo.com,651577679,Q00000207,Miraflores,2024-07-10,0.00,True
208,Guadalupe,Almeida,conductor208@ejemplo.com,120745439,Q00000208,Lince,2021-10-28,0.00,True
209,Úrsula,Pagès,conductor209@ejemplo.com,924637078,Q00000209,Miraflores,2022-06-18,0.00,True
210,Juanita,Arellano,conductor210@ejemplo.com,083714713,Q00000210,Lince,2021-09-13,0.00,True
211,María Dolores,Pareja,conductor211@ejemplo.com,276425759,Q00000211,Jesús María,2023-10-17,0.00,True
212,Vicenta,Lastra,conductor212@ejemplo.com,173277687,Q00000212,San Juan de Lurigancho,2022-11-07,0.00,True
213,Olimpia,Fiol,conductor213@ejemplo.com,681520486,Q00000213,Barranco,2023-05-14,0.00,True
214,Lino,Alvarado,conductor214@ejemplo.com,324323976,Q00000214,Lince,2024-05-04,0.00,True
215,Juanito,Agudo,conductor215@ejemplo.com,068352494,Q00000215,Miraflores,2025-04-28,0.00,True
216,Celso,Riba,conductor216@ejemplo.com,014789818,Q00000216,San Juan de Lurigancho,2021-11-18,0.00,True
217,Gertrudis,Santamaría,conductor217@ejemplo.com,662028873,Q00000217,La Molina,2025-01-31,0.00,True
218,Reina,Arranz,conductor218@ejemplo.com,153149352,Q00000218,Magdalena,2023-08-24,0.00,True
219,Jovita,Nieto,conductor219@ejemplo.com,500748007,Q00000219,San Isidro,2023-06-10,0.00,True
220,Remigio,Barragán,conductor220@ejemplo.com,241114746,Q00000220,San Juan de Lurigancho,2023-01-27,0.00,True
221,Marcelino,Corominas,conductor221@ejemplo.com,578126509,Q00000221,Pueblo Libre,2025-02-21,0.00,True
222,Chelo,González,conductor222@ejemplo.com,713139553,Q00000222,Lince,2021-08-03,0.00,True
223,Aníbal,Infante,conductor223@ejemplo.com,815759811,Q00000223,San Borja,2025-05-21,0.00,True
224,Vanesa,Mascaró,conductor224@ejemplo.com,968323786,Q00000224,La Molina,2025-11-23,0.00,True
225,Liliana,Llanos,conductor225@ejemplo.com,099342705,Q00000225,Surco,2024-03-25,0.00,True
226,Fabio,Clemente,conductor226@ejemplo.com,940148546,Q00000226,Miraflores,2021-04-01,0.00,True
227,Marc,Jerez,conductor227@ejemplo.com,825275387,Q00000227,Callao,2021-04-07,0.00,True
228,Duilio,Pedraza,conductor228@ejemplo.com,576890693,Q00000228,Barranco,2023-01-23,0.00,True
229,Mauricio,Pera,conductor229@ejemplo.com,874712481,Q00000229,Lince,2022-02-15,0.00,True
230,Julio,Ros,conductor230@ejemplo.com,290133788,Q00000230,San Borja,2023-09-07,0.00,True
231,Virgilio,Porcel,conductor231@ejemplo.com,350188215,Q00000231,San Juan de Lurigancho,2025-02-11,0.00,True
232,Fabiola,Calatayud,conductor232@ejemplo.com,228523926,Q00000232,Jesús María,2021-06-04,0.00,True
233,Hector,Arribas,conductor233@ejemplo.com,972867785,Q00000233,La Molina,2023-03-14,0.00,True
234,Edelmiro,Llorente,conductor234@ejemplo.com,722451805,Q00000234,San Isidro,2022-07-22,0.00,True
235,Manu,Goicoechea,conductor235@ejemplo.com,100324023,Q00000235,Jesús María,2021-10-26,0.00,True
236,Tito,Galindo,conductor236@ejemplo.com,246562948,Q00000236,Barranco,2023-03-08,0.00,True
237,Palmira,Cárdenas,conductor237@ejemplo.com,399593698,Q00000237,Callao,2024-06-21,0.00,True
238,Tomás,Garcia,conductor238@ejemplo.com,733900356,Q00000238,Pueblo Libre,2024-09-17,0.00,True
239,Wilfredo,Ferrán,conductor239@ejemplo.com,477554202,Q00000239,San Juan de Lurigancho,2023-10-20,0.00,True
240,Cristina,Godoy,conductor240@ejemplo.com,040213552,Q00000240,Magdalena,2025-10-16,0.00,True
241,Leticia,Benitez,conductor241@ejemplo.com,672571921,Q00000241,Callao,2023-12-03,0.00,True
242,Galo,Solsona,conductor242@ejemplo.com,065448332,Q00000242,Barranco,2024-04-09,0.00,True
243,Sabas,Villalonga,conductor243@ejemplo.com,119776743,Q00000243,Magdalena,2024-02-12,0.00,True
244,Guadalupe,Sanmiguel,conductor244@ejemplo.com,935909597,Q00000244,Barranco,2025-12-23,0.00,True
245,Felipe,Cano,conductor245@ejemplo.com,401935693,Q00000245,San Juan de Lurigancho,2021-05-16,0.00,True
246,Trinidad,Carro,conductor246@ejemplo.com,521806965,Q00000246,San Isidro,2025-12-17,0.00,True
247,Aitor,Saldaña,conductor247@ejemplo.com,474141128,Q00000247,San Isidro,2021-04-25,0.00,True
248,Ignacia,Rocamora,conductor248@ejemplo.com,837090350,Q00000248,Surco,2023-08-15,0.00,True
249,Aurelia,Torrents,conductor249@ejemplo.com,255763461,Q00000249,Magdalena,2022-11-04,0.00,True
250,Gerónimo,Coello,conductor250@ejemplo.com,489038345,Q00000250,Jesús María,2022-09-17,0.00,True
251,Montserrat,Cabeza,conductor251@ejemplo.com,266121465,Q00000251,Lince,2025-08-11,0.00,True
252,Amanda,Valdés,conductor252@ejemplo.com,298369039,Q00000252,Pueblo Libre,2022-06-12,0.00,True
253,Blas,Madrid,conductor253@ejemplo.com,152726738,Q00000253,Barranco,2026-01-27,0.00,True
254,Adelardo,Pina,conductor254@ejemplo.com,812269871,Q00000254,La Molina,2022-06-24,0.00,True
255,Morena,Prieto,conductor255@ejemplo.com,627591477,Q00000255,Magdalena,2021-04-06,0.00,True
